Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11940382,2020-10-21 16:29:12,2020-06-06 15:06:54,524286585,52952945085,0,101,13980,GCA_000001405.28,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11940/SRR11940382/SRR11940382.lite.1,SRX8484873,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784894,SAMN15153963,simple,9606,Homo sapiens,GSM4593888,,,,,,,no,,,,,GEO,SRA1084082,,public,8E04ABEB3E7550F3AD7FFAFE3612311E,E3CAC6B3B9E6116CAF85644A2367ECD3
SRR11940383,2020-10-21 16:29:12,2020-06-06 13:38:23,511080104,51619090504,0,101,13776,GCA_000001405.28,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11940/SRR11940383/SRR11940383.lite.1,SRX8484874,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784895,SAMN15153962,simple,9606,Homo sapiens,GSM4593889,,,,,,,no,,,,,GEO,SRA1084082,,public,CD613B449E194D4B80452DF9B5E9AC85,7591E457D26FAFE49EF3457900F69AE8
SRR11940384,2020-10-21 16:29:12,2020-06-06 14:49:44,456905462,46147451662,0,101,12196,GRCH38,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11940/SRR11940384/SRR11940384.lite.1,SRX8484875,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784896,SAMN15153961,simple,9606,Homo sapiens,GSM4593890,,,,,,,no,,,,,GEO,SRA1084082,,public,2BEBF51FA33D58093B78119BA3619929,3193DC2B5C90552800912A7CDF6678EA
SRR11940385,2020-10-21 16:29:12,2020-06-06 13:02:06,301219951,30423215051,0,101,8730,GCA_000001405.28,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR011/11940/SRR11940385/SRR11940385.lite.1,SRX8484876,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784897,SAMN15153960,simple,9606,Homo sapiens,GSM4593891,,,,,,,no,,,,,GEO,SRA1084082,,public,B27C44B5BB59CD4D23423D5309A3F25F,01B55D1D0E8C6927D62C84045DD290B8
SRR11940386,2020-10-21 16:29:12,2020-06-06 13:27:45,452105505,45662656005,0,101,12193,GRCH38,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11940/SRR11940386/SRR11940386.lite.1,SRX8484877,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784898,SAMN15153959,simple,9606,Homo sapiens,GSM4593892,,,,,,,no,,,,,GEO,SRA1084082,,public,FD3A9718D98FDD45597AD8CEB3F0923C,6F6E63301B1BEF7BD59943F43FEF841B
SRR11940387,2020-10-21 16:29:12,2020-06-06 13:50:02,594924852,60087410052,0,101,15765,GCA_000001405.28,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11940/SRR11940387/SRR11940387.lite.1,SRX8484878,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784899,SAMN15153958,simple,9606,Homo sapiens,GSM4593893,,,,,,,no,,,,,GEO,SRA1084082,,public,DC167DA6BC93C47C50B513E4CFAFF675,C43E12A652823481D1AF5A070BDAF75C
SRR11940388,2020-10-21 16:29:12,2020-06-06 15:03:48,524095146,52933609746,0,101,14434,GCA_000001405.28,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11940/SRR11940388/SRR11940388.lite.1,SRX8484879,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784900,SAMN15153957,simple,9606,Homo sapiens,GSM4593894,,,,,,,no,,,,,GEO,SRA1084082,,public,01108B85CB965637BD2D988ED3FCBACE,BD3F298288445D4524D0F2CAB8CF5809
SRR11940389,2020-10-21 16:29:12,2020-06-06 13:53:53,498886479,50387534379,0,101,13098,GCA_000001405.28,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11940/SRR11940389/SRR11940389.lite.1,SRX8484880,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784901,SAMN15153956,simple,9606,Homo sapiens,GSM4593895,,,,,,,no,,,,,GEO,SRA1084082,,public,87ED91250908B9E34DE1B96ECCDB0476,1C22EB52CCDAB6FE620C2E7A01BAB772
SRR11940390,2020-10-21 16:29:12,2020-06-06 12:28:22,170819357,21523238982,0,126,5599,GRCH38,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11940/SRR11940390/SRR11940390.lite.1,SRX8484881,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784902,SAMN15153955,simple,9606,Homo sapiens,GSM4593896,,,,,,,no,,,,,GEO,SRA1084082,,public,D2A401EAE512ABE971BF72DC6D26FBF5,81B9C31040A86F8495728510704455D4
SRR12546868,2020-10-21 16:29:12,2020-08-30 11:04:56,302355681,45655707831,0,151,9311,GCA_000001405.28,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12546/SRR12546868/SRR12546868.lite.1,SRX8484882,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP266231,PRJNA637757,3,637757,SRS6784903,SAMN15153954,simple,9606,Homo sapiens,GSM4593897,,,,,,,no,,,,,GEO,SRA1084082,,public,C9AEF5D619A7EA7D1491FF7E57869B11,6A8B4049E9AF5D2D9BA0947D6F7774A3
