Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14585800,2021-07-28 09:42:06,2021-05-19 13:47:38,27482462,7962818011,27482462,289,2529,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585800/SRR14585800.lite.1,SRX10933035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015825,SAMN19268877,simple,9606,Homo sapiens,GSM5322553,,,,,,,no,,,,,GEO,SRA1234219,,public,8A6DC97BB9A0043BD363A2D02CF0BE7B,4822C76D3148B069F109EE984B34BDCA
SRR14585801,2021-07-28 09:42:06,2021-05-19 13:36:36,27485867,7963268406,27485867,289,2537,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585801/SRR14585801.lite.1,SRX10933035,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015825,SAMN19268877,simple,9606,Homo sapiens,GSM5322553,,,,,,,no,,,,,GEO,SRA1234219,,public,4EE10348A98139F3AF6C44AB0B420BBB,4AA57F9AD80CD0F1BDF5D8E03B712C23
SRR14585802,2021-07-28 09:42:06,2021-05-19 13:33:11,23142963,6706441614,23142963,289,2152,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585802/SRR14585802.lite.1,SRX10933036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015826,SAMN19268895,simple,9606,Homo sapiens,GSM5322554,,,,,,,no,,,,,GEO,SRA1234219,,public,4ED260C356D7112F50F3656F7636866B,736DBF26F8A91CB58230F9DFB5C101F4
SRR14585803,2021-07-28 09:42:06,2021-05-19 13:40:42,23073582,6686554515,23073582,289,2153,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585803/SRR14585803.lite.1,SRX10933036,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015826,SAMN19268895,simple,9606,Homo sapiens,GSM5322554,,,,,,,no,,,,,GEO,SRA1234219,,public,46D060E0E84FD90D493B06392DDA052E,9777EDF83CD4A0C4B68C606F9F8C1156
SRR14585804,2021-07-28 09:42:06,2021-05-19 13:35:30,21670804,6300548679,21670804,290,2018,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585804/SRR14585804.lite.1,SRX10933037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015827,SAMN19268893,simple,9606,Homo sapiens,GSM5322555,,,,,,,no,,,,,GEO,SRA1234219,,public,68182E4DBC71F7A633CCCB42783DD25C,CD640B7556D1128A3ACC8C5F9F3F2A0D
SRR14585805,2021-07-28 09:42:06,2021-05-19 13:37:21,21562935,6269213665,21562935,290,2016,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585805/SRR14585805.lite.1,SRX10933037,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015827,SAMN19268893,simple,9606,Homo sapiens,GSM5322555,,,,,,,no,,,,,GEO,SRA1234219,,public,3A8008E405FDD9A14902135221789D44,B936AD22BD8381E22E33837EF0BC4467
SRR14585806,2021-07-28 09:42:06,2021-05-19 13:35:27,23233738,6724667406,23233738,289,2144,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR014/14585/SRR14585806/SRR14585806.lite.1,SRX10933038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015828,SAMN19268892,simple,9606,Homo sapiens,GSM5322556,,,,,,,no,,,,,GEO,SRA1234219,,public,0E6E23306A1F4816A60E5887C07B68F8,22027BBC926BE751CF2B439EF6E9E86F
SRR14585807,2021-07-28 09:42:06,2021-05-19 13:34:33,23209395,6717364077,23209395,289,2150,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585807/SRR14585807.lite.1,SRX10933038,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015828,SAMN19268892,simple,9606,Homo sapiens,GSM5322556,,,,,,,no,,,,,GEO,SRA1234219,,public,09CD766791B90850BF923E0DBC8164A6,3511639C36343E824BEFC921DA1CAE86
SRR14585808,2021-07-28 09:42:06,2021-05-19 13:34:16,21316899,6156332649,21316899,288,1963,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585808/SRR14585808.lite.1,SRX10933039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015829,SAMN19268890,simple,9606,Homo sapiens,GSM5322557,,,,,,,no,,,,,GEO,SRA1234219,,public,243AB39C8EDA89D9F6C24AC5D67FCD6C,C677B5AC0C861D23CAA99F4A5337CD61
SRR14585809,2021-07-28 09:42:06,2021-05-19 13:35:49,21213700,6126476926,21213700,288,1961,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14585/SRR14585809/SRR14585809.lite.1,SRX10933039,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP320496,PRJNA731125,3,731125,SRS9015829,SAMN19268890,simple,9606,Homo sapiens,GSM5322557,,,,,,,no,,,,,GEO,SRA1234219,,public,66084FB8A479669C971A51242CDCADD2,A31C1EC6B1FE5EBF129AD24A91134E70
