Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8369312,2018-12-27 16:57:11,2018-12-25 20:05:55,9469306,658724337,0,69,255,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369312/SRR8369312.sralite.1,SRX5179497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186724,SAMN10643395,simple,9606,Homo sapiens,GSM3530277,,,,,,,no,,,,,GEO,SRA827017,,public,,
SRR8369313,2018-12-27 16:57:11,2018-12-25 20:05:36,9770019,677739848,0,69,260,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369313/SRR8369313.sralite.1,SRX5179497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186724,SAMN10643395,simple,9606,Homo sapiens,GSM3530277,,,,,,,no,,,,,GEO,SRA827017,,public,A6279D2CCE24CF4908FE285C8CBFA060,C7ECF8BEBA094B6CF331D6FF787804CA
SRR8369314,2018-12-27 16:57:11,2018-12-25 20:05:54,9451705,656595602,0,69,254,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369314/SRR8369314.sralite.1,SRX5179497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186724,SAMN10643395,simple,9606,Homo sapiens,GSM3530277,,,,,,,no,,,,,GEO,SRA827017,,public,D47538AFD81260456B732C48781A9C82,204FC5CC182AB91053FE79AB1A6A8A48
SRR8369315,2018-12-27 16:57:11,2018-12-25 20:06:05,10059165,697590490,0,69,266,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369315/SRR8369315.sralite.1,SRX5179497,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186724,SAMN10643395,simple,9606,Homo sapiens,GSM3530277,,,,,,,no,,,,,GEO,SRA827017,,public,62476E376B22F84567972E96B63E0AEA,237CC21903D4B255C3D6F85B4280D620
SRR8369316,2018-12-27 16:57:11,2018-12-25 20:05:53,9302883,667697976,0,71,257,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369316/SRR8369316.sralite.1,SRX5179498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186725,SAMN10643394,simple,9606,Homo sapiens,GSM3530278,,,,,,,no,,,,,GEO,SRA827017,,public,AC75DE29B89B39AAF2374ED9596692C5,1D2E3A9FC406415AFC2885D29BC39268
SRR8369317,2018-12-27 16:57:11,2018-12-25 20:05:53,9587974,687167612,0,71,262,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/369/SRR8369317.sralite.1,SRX5179498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186725,SAMN10643394,simple,9606,Homo sapiens,GSM3530278,,,,,,,no,,,,,GEO,SRA827017,,public,60AD6EDEA53C3A5EF9DD41640F593322,A0A2996B7C94D399A5C120815CB7232E
SRR8369318,2018-12-27 16:57:11,2018-12-25 20:05:50,9266783,664467193,0,71,256,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369318/SRR8369318.sralite.1,SRX5179498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186725,SAMN10643394,simple,9606,Homo sapiens,GSM3530278,,,,,,,no,,,,,GEO,SRA827017,,public,38FFB0B18284A703C4D8E136E4BC7513,114D9A253578FBCE17F1048263262CFD
SRR8369319,2018-12-27 16:57:11,2018-12-25 20:06:30,9897297,709558896,0,71,269,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369319/SRR8369319.sralite.1,SRX5179498,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186725,SAMN10643394,simple,9606,Homo sapiens,GSM3530278,,,,,,,no,,,,,GEO,SRA827017,,public,7C49DF81D63BC7D880998FEF4281E3D2,5386B5C5F9C872ED44CC3D75A43FB42B
SRR8369320,2018-12-27 16:57:11,2018-12-25 20:07:44,13827731,921995187,0,66,388,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR008/369/SRR8369320/SRR8369320.sralite.1,SRX5179499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186726,SAMN10643393,simple,9606,Homo sapiens,GSM3530279,,,,,,,no,,,,,GEO,SRA827017,,public,8A898DD2A91B5C4BE00972901AF4CADD,8A244183CD53C464B5A22BE0B99093CC
SRR8369321,2018-12-27 16:57:11,2018-12-25 20:07:05,13954408,930908436,0,66,394,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR008/369/SRR8369321.sralite.1,SRX5179499,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP174449,PRJNA511766,,511766,SRS4186726,SAMN10643393,simple,9606,Homo sapiens,GSM3530279,,,,,,,no,,,,,GEO,SRA827017,,public,9026112AB53151B73FACB8186847B008,AFC5FB2B77E4FDF04CE00CF284039765
